thickness_nm,requested_thickness_A,actual_thickness_A,repetitions_z,npy_path,shape_y,shape_x,intensity_sum,intensity_max,orientation_mode,gxparm_path,frame_number,phi0_deg,dphi_deg,phi_deg,axis_x,axis_y,axis_z
10.0,100.0,154.0,2,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t10nm.npy,213,39,0.9959936919067899,0.9147152900695801,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
20.0,200.0,231.0,3,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t20nm.npy,213,39,0.9940552132255086,0.8417271375656128,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
30.0,300.0,308.0,4,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t30nm.npy,213,39,0.9922713917655326,0.7553786039352417,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
40.0,400.0,462.0,6,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t40nm.npy,213,39,0.9889960514878006,0.5771979093551636,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
50.0,500.0,539.0,7,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t50nm.npy,213,39,0.9870174604263875,0.48746615648269653,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
60.0,600.0,616.0,8,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t60nm.npy,213,39,0.9845100460432364,0.40130358934402466,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
70.0,700.0,770.0,10,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t70nm.npy,213,39,0.9787160047134786,0.31045013666152954,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
80.0,800.0,847.0,11,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t80nm.npy,213,39,0.975314232005577,0.3355885148048401,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
90.0,900.0,924.0,12,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t90nm.npy,213,39,0.9720248225861478,0.3516009747982025,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
100.0,1000.0,1001.0,13,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t100nm.npy,213,39,0.9686250129245244,0.3578917980194092,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
110.0,1100.0,1155.0,15,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t110nm.npy,213,39,0.9617585575646799,0.34312620759010315,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
120.0,1200.0,1232.0,16,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t120nm.npy,213,39,0.9581008435928156,0.321228951215744,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
130.0,1300.0,1309.0,17,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t130nm.npy,213,39,0.9541250461010269,0.29322996735572815,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
140.0,1400.0,1463.0,19,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t140nm.npy,213,39,0.9471673692158465,0.41700810194015503,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
150.0,1500.0,1540.0,20,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t150nm.npy,213,39,0.9442460930755148,0.5049128532409668,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
160.0,1600.0,1617.0,21,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t160nm.npy,213,39,0.9419994357110123,0.5866272449493408,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
170.0,1700.0,1771.0,23,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t170nm.npy,213,39,0.9372169327271003,0.7197030782699585,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
180.0,1800.0,1848.0,24,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t180nm.npy,213,39,0.9347675420220445,0.7661908268928528,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
190.0,1900.0,1925.0,25,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t190nm.npy,213,39,0.9323863758754215,0.7939577698707581,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
200.0,2000.0,2002.0,26,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t200nm.npy,213,39,0.930307211376814,0.8064541816711426,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
210.0,2100.0,2156.0,28,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t210nm.npy,213,39,0.9265640557313417,0.7825907468795776,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
220.0,2200.0,2233.0,29,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t220nm.npy,213,39,0.9246736869917394,0.7481746077537537,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
230.0,2300.0,2310.0,30,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t230nm.npy,213,39,0.922796675470335,0.7002378702163696,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
240.0,2400.0,2464.0,32,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t240nm.npy,213,39,0.9175912420388272,0.5593798756599426,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
250.0,2500.0,2541.0,33,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t250nm.npy,213,39,0.914306171088363,0.47473180294036865,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
260.0,2600.0,2618.0,34,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t260nm.npy,213,39,0.9104777964789179,0.3874720633029938,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
270.0,2700.0,2772.0,36,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t270nm.npy,213,39,0.9023369133432544,0.24514850974082947,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
280.0,2800.0,2849.0,37,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t280nm.npy,213,39,0.8977938454761006,0.27747881412506104,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
290.0,2900.0,2926.0,38,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t290nm.npy,213,39,0.8929773673123815,0.30449047684669495,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
300.0,3000.0,3003.0,39,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t300nm.npy,213,39,0.8876247423585242,0.32241958379745483,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
310.0,3100.0,3157.0,41,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t310nm.npy,213,39,0.8756533198637069,0.32585930824279785,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
320.0,3200.0,3234.0,42,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t320nm.npy,213,39,0.8703185517310918,0.3099272549152374,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
330.0,3300.0,3311.0,43,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t330nm.npy,213,39,0.8648084552099943,0.2837586998939514,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
340.0,3400.0,3465.0,45,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t340nm.npy,213,39,0.8546678979739555,0.27788445353507996,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
350.0,3500.0,3542.0,46,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t350nm.npy,213,39,0.850514619909156,0.34547922015190125,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
360.0,3600.0,3619.0,47,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t360nm.npy,213,39,0.8469127303607725,0.41649365425109863,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
370.0,3700.0,3773.0,49,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t370nm.npy,213,39,0.8402334043109204,0.5477312207221985,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
380.0,3800.0,3850.0,50,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t380nm.npy,213,39,0.8374825136906887,0.6044389009475708,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
390.0,3900.0,3927.0,51,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t390nm.npy,213,39,0.8352767215943009,0.6482123136520386,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
400.0,4000.0,4004.0,52,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t400nm.npy,213,39,0.8334356399356765,0.6777490973472595,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
410.0,4100.0,4158.0,54,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t410nm.npy,213,39,0.8304288812165038,0.6928494572639465,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
420.0,4200.0,4235.0,55,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t420nm.npy,213,39,0.8286629426122172,0.6710779070854187,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
430.0,4300.0,4312.0,56,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t430nm.npy,213,39,0.8270465049837368,0.6305137276649475,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
440.0,4400.0,4466.0,58,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t440nm.npy,213,39,0.8240166498747112,0.5018954873085022,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
450.0,4500.0,4543.0,59,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t450nm.npy,213,39,0.8218222602186225,0.4322325587272644,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
460.0,4600.0,4620.0,60,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t460nm.npy,213,39,0.8188209029472245,0.3624090850353241,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
470.0,4700.0,4774.0,62,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t470nm.npy,213,39,0.8118246222904117,0.2347678244113922,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
480.0,4800.0,4851.0,63,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t480nm.npy,213,39,0.8081934308989815,0.22579219937324524,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
490.0,4900.0,4928.0,64,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t490nm.npy,213,39,0.8035394237501817,0.24220721423625946,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
500.0,5000.0,5005.0,65,/Users/xiaodong/Desktop/dynamicity/abtem_single_orientation/results_10to500_step10/patterns/pattern_t500nm.npy,213,39,0.7985068286755765,0.25159576535224915,xds_frame,/Users/xiaodong/Desktop/dynamicity/bloch_wave_analyser_project/data/LTA_t1/GXPARM.XDS,50,-45.0,0.12,-39.12,0.14723493505159255,0.9891005636870664,-0.0013959993841954916
