Event,Misorientation_deg
//3,2.999975265216038
//0,0.0
//1,1.0000634539964262
//2,2.000008182120782
//4,4.000040878304118
//6,5.999992052557774
//7,7.000029708489553
//5,5.000047153184916
//8,8.000031103969906
//9,9.00000152462776
//10,10.000013596116123
//11,10.999998682704076
//12,12.000001416631456
//13,13.000015582324487
//14,14.000001995455476
//15,15.000004303489764
//16,16.00000013211544
//17,17.000013086169297
//18,18.00001217151918
//19,19.00000923602775
//20,20.00000871861701
//21,21.00000928949632
//22,22.000005030473446
//23,23.00000370449142
//24,24.000007238569328
//25,24.999996662581665
//26,25.999997855690605
//27,26.999998772889015
//28,27.99999915626626
//29,29.000008550673105
//30,30.000003913526793
//31,31.000000352691305
//32,32.00000710587031
//33,33.00000331136835
//34,34.00000268954673
//35,35.00000161992123
//37,36.99999930541324
//36,36.00000433597818
//38,38.00000512406329
//39,39.000002269440174
//40,40.00000055726539
//41,41.000004922506925
//42,42.00000567060813
//43,42.999999732631395
//45,45.02106301692214
//47,18.688048074655452
//44,43.99999973684814
//46,26.650318814756645
//48,14.606460804328716
//49,12.377953529148622
//50,11.216643726621648
//51,10.740614301841228
//52,10.724541972954103
//53,11.019838358054466
//54,11.525605583955345
//55,12.173770201838414
//56,12.919027857677902
//57,13.731234269928944
//58,14.590402216189428
//59,15.483016170043165
//60,16.399859945100864
//61,17.334544048919195
//62,18.282575980547882
//63,19.240724381628617
//64,20.206646445998604
//65,21.178632967309955
//66,22.155386888407406
//67,23.135949107831173
//68,24.119541100376303
//69,25.10559476281029
//70,26.093690914364558
//71,27.083435976433297
//72,28.0745654361371
//73,29.066852806032834
//74,30.060110101620914
//75,31.05418831448395
//76,32.04896508607122
//77,33.04434695937133
//78,34.04023490296451
//79,35.036566186066814
//80,36.03328656314461
//81,37.03033776583316
//82,38.027679827304375
//83,39.025288874179104
//85,41.02115764346403
//84,40.023123531642504
//86,42.019368434762626
//87,43.017741028225046
//88,44.016257792896056
//89,45.08412747337702
//90,33.863327146789636
//91,26.90414819971462
//92,22.40702988144183
//93,19.426438449050764
//94,17.453745910626562
//95,16.194845355813307
//97,15.132709972283164
//96,15.463957065284221
//98,15.106460926729447
//99,15.313020900535598
//100,15.696796349817536
//101,16.21530804548078
//103,17.53549073967673
//102,16.83630164263645
//104,18.294661112737984
//105,19.100130261529564
//106,19.941632344653968
//107,20.81141424540657
//108,21.703513314695716
//109,22.613458229380925
//111,24.47360074544109
//110,23.537722957906226
//112,25.418968431379135
//113,26.372108658276
//114,27.331712398344767
//115,28.29670032856526
//116,29.26618760275248
//117,30.239474848102574
//118,31.215994742155647
//119,32.195267521079465
//120,33.1768885553255
//121,34.160548224376505
//122,35.14595445705262
//123,36.132887684866695
//124,37.12115805138243
//125,38.11058506564959
//126,39.10103926535091
//127,40.09239420594515
//128,41.08454649869034
//129,42.07741828610713
//130,43.07091469099483
//132,45.1888720683542
//131,44.064983782247985
//133,37.17556015052662
//134,31.45297939391827
//135,27.32079871839005
//136,24.316611136188254
//137,22.140861872079352
//139,19.541849887986988
//138,20.595071153174178
//140,18.88104538296316
//141,18.53589980582318
//142,18.44541865448302
//143,18.56023547103836
//144,18.84012760762658
//145,19.252466443136868
//146,19.770911266902413
//147,20.37440239638174
//148,21.046200248586462
//149,21.772985594093875
//150,22.544238722539646
//151,23.351557241290873
//152,24.188365163647234
//153,25.049325455272214
//154,25.930252565866933
//155,26.8277174329336
//156,27.738987939304156
//157,28.661823105559538
//158,29.594421953065332
//159,30.535297885582203
//160,31.483211094334592
//162,33.39625294956724
//161,32.437148877385624
//163,34.359835781073826
//164,35.32729455640652
//165,36.29811772130467
//166,37.271896295543606
//167,38.248251417978175
//168,39.22688421419812
//169,40.20754053909024
//170,41.18995944960304
//171,42.17396447407874
//172,43.15939053726981
//174,45.33475010430614
//173,44.146077619523034
//175,39.13923738885382
//176,34.37535666729437
//177,30.709273120075128
//178,27.891292747491526
//179,25.740040624090607
//180,24.123261315812904
//181,22.94231848707047
//182,22.121333570183474
//183,21.599844031018797
//184,21.32828905675676
//185,21.265293262995435
//186,21.3759866281508
//187,21.630959416515566
//188,22.00549744305711
//189,22.479007417943723
//190,23.034363231754657
//191,23.65744657355973
//192,24.33668300055875
//193,25.062536721492403
//194,25.827234382493653
//195,26.624389113882945
//196,27.44876859987395
//197,28.29606892180947
//198,29.1627600755396
//199,30.045908947755816
//200,30.94308116066101
//202,32.771763236541226
//201,31.852259196686976
//203,33.700175449883886
//204,34.636291856163915
//205,35.579126949543905
//206,36.527820185353775
//207,37.481627308099405
//208,38.43995646181124
//209,39.40226053603214
//210,40.36807391229376
//211,41.337019163261296
//212,42.308742386339766
//213,43.28295005334891
//215,45.5210236800972
//214,44.259383481154934
//216,40.49877070876957
//217,36.460366498419496
//218,33.224313041135865
//219,30.643934225955586
//220,28.604196541849284
//221,27.015240673409522
//222,25.80602226496493
//223,24.919266152046934
//224,24.30768072067708
//225,23.931378182670816
//226,23.75622027766176
//227,23.75269930977363
//228,23.89528123633408
//229,24.161946221436875
//230,24.533768680545503
//231,24.9945395784166
//232,25.530538626358272
//233,26.130150835435
//234,26.783588696033778
//235,27.48266150650129
//236,28.220464964533488
//237,28.991251902034392
//238,29.79017652885863
//239,30.613197961063463
//240,31.45690968586379
//241,32.318420394866884
//242,33.19533750450343
//243,34.08560855928827
//244,34.98748769095147
//245,35.89951032619777
//246,36.82041313178616
//247,37.749113317148
//248,38.684695459813284
//249,39.62635167309471
//250,40.573391436480186
//251,41.5252297275109
//252,42.48134630535147
//255,45.7467532820155
//253,43.44128408761804
//254,44.404647743956204
//256,41.547014008115
//257,38.06887027583388
//258,35.20418080214274
//259,32.86083744610697
//260,30.962523063231522
//261,29.446447598537922
//262,28.260682306068393
//263,27.361646948595688
//264,26.71221883840403
//265,26.280290947093818
//266,26.03772656451524
//267,25.959770711171085
//268,26.024543583613486
//271,26.894051757756525
//269,26.21277943505174
//270,26.507528825865627
//272,27.35950078210056
//273,27.89279048346563
//274,28.48440879857092
//275,29.126178753473592
//276,29.811118330099944
//277,30.533296198959395
//278,31.287605242042737
//279,32.06974543718299
//280,32.87602885921162
//281,33.70329550048539
//282,34.54886756317239
//283,35.410439171411255
//284,36.286044832259
//285,37.17397281583171
//286,38.07278647607964
//287,38.981206692695935
//288,39.89815035036939
//289,40.82268072200644
//290,41.75395797923588
//291,42.69127514493324
//292,43.63400146882962
//293,44.58158493275403
//294,46.01082750438213
//295,42.421602701697175
//296,39.38724426867446
//297,36.83880831118068
//298,34.71529448662685
//299,32.96404024214712
//300,31.539929480109585
//301,30.404214795027713
//302,29.523331882187456
//303,28.867925095189225
//304,28.411973870059146
//305,28.13226275494139
//306,28.007974621111927
//307,28.02045880540313
//308,28.152936846801996
//309,28.390492919450647
//310,28.719867614846077
//311,29.12930914994387
//312,29.608530465723415
//313,30.148528455815228
//314,30.74141981684792
//315,31.380408120600215
//316,32.05957783269273
//317,32.773817884104446
//318,33.51871265239888
//319,34.29044076759075
//320,35.085720892886854
//321,35.901702862372936
//322,36.73591637889457
//323,37.58623240203909
//324,38.45080394406024
//325,39.32802744800497
//326,40.21649641719864
//327,41.11499528066678
//328,42.02245259289503
//329,42.93794861390156
//330,43.86064822629622
//331,44.789841768302615
//332,46.311979688422795
//333,43.195214141678434
//334,40.52061030458869
//335,38.24189431881398
//336,36.31690109983235
//337,34.70800163414726
//338,33.38190818678934
//339,32.30915629603859
//340,31.463543905283956
//341,30.821551319925472
//342,30.36194995332241
//343,30.065467062994976
//344,29.914584188566295
//345,29.893326029785996
//346,29.98718563199233
//347,30.183027752134915
//348,30.469031928135777
//349,30.834606294091614
//350,31.270304523003936
//351,31.767755246071957
//352,32.31953370888786
//353,32.91914379174695
//354,33.56086195082712
//355,34.23965400730528
//356,34.95117519105518
//357,35.69156219141156
//358,36.457498981899796
//359,37.24605365812475
//360,38.05466980454896
//361,38.881132625614036
//362,39.72348741258916
//363,40.58002691351856
//364,41.44925264265756
//365,42.329854092803494
//366,43.22066934081205
//367,44.120683166495
//368,45.02899133091577
//369,46.64881479342661
//370,43.90939876473313
//371,41.5322784553672
//372,39.485080132642366
//373,37.73761155037897
//374,36.26218192170218
//375,35.03363940181847
//376,34.02915667794583
//377,33.22794427230874
//378,32.61098225737249
//379,32.160792394732276
//380,31.861281042620778
//381,31.697597686268033
//382,31.656035132633736
//383,31.724037059207006
//384,31.890058345361233
//385,32.14360638249309
//386,32.475156829929276
//387,32.87612284607882
//388,33.3387978345229
//389,33.856294720411775
//390,34.42245409456336
//391,35.03183227267461
//392,35.67962106611735
//393,36.361522547246764
//394,37.07379708020481
//395,37.81310204894082
//396,38.576540162660315
//397,39.36150932465089
//398,40.16575264517602
//399,40.98725504621482
//400,41.82425969936404
//401,42.67519578961355
//402,43.53869088616904
//403,44.413513183007026
//404,45.29859021788857
//405,47.01979916778824
//406,44.58929854871278
//407,42.46227566098865
//408,40.61536441107361
//409,39.02624495629271
//410,37.674031292893545
//411,36.53933292086001
//412,35.60410412796345
//413,34.85165892051083
//414,34.266417870721035
//415,33.833882486400285
//416,33.54049798996821
//417,33.373623937192406
//418,33.32146558439033
//419,33.37308601633523
//420,33.51836157089093
//421,33.747971945050715
//422,34.05338731711921
//423,34.42682804120818
//424,34.86125218880908
//425,35.35027474609053
//426,35.888162969275484
//427,36.469797598032315
//428,37.09057303686263
//429,37.746390946142405
//430,38.43359337097513
//431,39.14894634411947
//432,39.88955406149506
//433,40.65286929883383
//434,41.43659069688826
//435,42.23871298358954
//436,43.05743567423308
//437,43.89117142506217
//438,44.73848465271223
//439,45.598120307928134
//440,47.423329884599724
//441,45.25069467454159
//442,43.33691285378537
//443,41.664570958287435
//444,40.21680194148021
//445,38.9774866764559
//446,37.93134924868583
//447,37.06396765949066
//448,36.36172333458488
//449,35.81174847584553
//450,35.4018975050353
//451,35.12067051859464
//452,34.95724242193744
//453,34.901433164547264
//454,34.943687839720745
//455,35.075104016394526
//456,35.28739527788177
//457,35.5729416663776
//458,35.924705905354685
//459,36.33624439157285
//460,36.80172049790932
//461,37.315804887677814
//462,37.87368594294877
//463,38.47103691346676
//464,39.10394592481174
//465,39.76889993976553
//466,40.46278820965863
//467,41.182764573464105
//468,41.926340413955366
//469,42.69124003154713
//470,43.47546800902278
//471,44.27722234300624
//472,45.09489000045262
//473,45.9270225876749
//474,47.85771456539244
//475,45.903778424294934
//476,44.17389123926005
//477,42.65481488431639
//478,41.33347613770213
//479,40.19720234304351
//480,39.23378948674184
//481,38.43150315028606
//482,37.77912610782003
//483,37.26591452609897
//484,36.88159398570363
//485,36.616379337498685
//486,36.460933110438354
//487,36.40640630221581
//488,36.44445247731033
//489,36.56721337289272
//490,36.767316781361345
//492,37.37272153054219
//493,37.76581057533963
//491,37.03793881715099
//494,38.2118384503381
//495,38.70589125396972
//496,39.24347343632243
//497,39.82053158916766
//498,40.43336640621146
//499,41.07864085705235
//500,41.75333486651777
//501,42.45474321349311
//502,43.180399474900476
//503,43.92811524984704
//504,44.695897363708994
//505,45.481974450727776
//506,46.28472089108964
//507,48.32120660074797
//508,46.55514760374607
//509,44.985427356600304
//510,43.60173193175504
//511,42.3937837654664
//512,41.351430736690766
//513,40.46476405719799
//514,39.72415266186193
//515,39.120228491545674
//516,38.64395201431026
//517,38.28657286111549
//518,38.039686578233336
//519,37.89522082168969
//520,37.84545550354619
//521,37.88305888171334
//522,38.00106029064476
//523,38.192930592089695
//524,38.45252683101917
//525,38.77410727627865
//526,39.15235100404521
//527,39.582334659738414
//528,40.05953912328051
//529,40.57978639968469
//530,41.13928409537381
//531,41.734545984313236
//532,42.36240667028533
//533,43.01999940472011
//534,43.704696090830126
//535,44.414154706502046
//536,45.14621601359711
//537,45.89893809513765
//538,46.67057953309041
//539,48.8120386374265
//540,47.209102410331646
//541,45.77999336240516
//542,44.51656358140221
//543,43.41057783810472
//544,42.453795912712465
//545,41.638076479251175
//546,40.9553997876266
//547,40.397886725054256
//548,39.95786286215261
//549,39.62783420169403
//550,39.400551216948585
//551,39.2689668940661
//552,39.226346377598084
//553,39.26621020643449
//554,39.38239323667842
//555,39.56905216705487
//556,39.82066968049336
//557,40.13206624333395
//558,40.498404101587695
//559,40.915174192411
//560,41.37820401303109
//562,42.427924959064846
//561,41.883635292988174
//563,43.00779406250647
//564,43.62027260654628
//565,44.26261936016199
//566,44.93232954461149
//567,45.627148103711534
//568,46.344985110058786
//569,47.08396490803555
//570,49.32841368935254
//571,47.868341902549254
//572,46.56354658182768
//573,45.40747515492875
//574,44.39341325972663
//575,43.51461488054502
//576,42.764305675534864
//577,42.13574274053376
//578,41.62226637127758
//579,41.21728334282722
//580,40.91435885782291
//581,40.70717224200586
//582,40.58959945277256
//583,40.55569767296779
//584,40.59975026497549
//585,40.716266450303316
//586,40.90001820550075
//587,41.14605100926059
//588,41.44967396786726
//589,41.80648667435999
//590,42.21236563505874
//591,42.663478106659646
//592,43.15623799084668
//593,43.68734614452731
//594,44.253744611307305
//595,44.85262154712781
//596,45.481382955898006
//597,46.13765563069921
//598,46.819258888734986
//599,47.52420332286924
//600,49.868544931243385
//601,48.534539701666205
//602,47.34025930246589
//603,46.280396169715715
//604,45.349424801125075
//605,44.541740309840186
//606,43.851645068971976
//607,43.27344904053781
//608,42.8014414787931
//609,42.429971714560295
//610,42.15344317823237
//611,41.96636019543133
//612,41.86333460976908
//613,41.839145732412774
//614,41.88870411647261
//615,42.00712144141334
//616,42.18971729681345
//617,42.432023431045224
//618,42.72979553145534
//619,43.07902736388196
//620,43.4759376222987
//621,43.91699498098969
//622,44.39890681952862
//623,44.918578942927205
//624,45.4731634183364
//625,46.060014537256514
//626,46.67667637683106
//627,47.32090507590772
//628,47.99060926970927
//629,50.43065756372977
//630,49.20855469536801
//631,48.11303042037787
//632,47.13970310750215
//633,46.28398208702034
//634,45.54118419244543
//635,44.90647760248798
//636,44.37500834451539
//637,43.94188499968489
//638,43.602190593569674
//639,43.351085080876594
//640,43.18372952745712
//641,43.095403351841476
//642,43.0814574405222
//643,43.13739344109342
//644,43.2588395189863
//645,43.44158581915668
//646,43.68160921187585
//647,43.97504771878573
//648,44.3182676137284
//649,44.70779215133619
//650,45.14038156380758
//651,45.612981063245115
//652,46.122723436269744
//653,46.666951059531804
//654,47.24315911537615
//655,47.84905359479865
//656,48.48248980395624
//657,51.01301162744141
//658,49.89076182853443
//659,48.883824382202256
//660,47.98856768558772
//661,47.20114851406403
//662,46.51759323213664
//663,45.93380613532999
//664,45.44561497722226
//665,45.048780890222275
//666,44.739064508719856
//667,44.51220222290038
//668,44.36396249451322
//669,44.29017034394574
//670,44.28671199173941
//671,44.3495573028375
//672,44.474799044258965
//673,44.6586640834311
//674,44.897505925183694
//675,45.18782211269923
//676,45.526295635401866
//677,45.90975014356036
//678,46.33519211944035
//679,46.799791550816465
//680,47.300906160876366
//681,47.83602779591315
//682,48.40283322833263
//683,48.99913513817534
//684,51.6138968143985
//685,50.58112952187824
//686,49.65394993283469
//687,48.82930565499687
//688,48.103960931920206
//689,47.47454615243343
//690,46.93754830933652
//691,46.489367574904186
//692,46.126337700743434
//693,45.84474860517993
//694,45.64086454830627
//695,45.51096941773771
//696,45.45134715771271
//697,45.45835291979
//698,45.528392845055215
//699,45.657954465612534
//700,45.843634535963076
//701,46.08213519308094
//702,46.37027588960863
//703,46.7050345559435
//704,47.08349119366101
//705,47.50289948801294
//706,47.960628933785635
//707,48.45422920534154
//708,48.98135823409121
//709,49.53983194983521
//710,52.231661124429095
//711,51.27937958254687
//712,50.42420651769062
//713,49.66357077616143
//714,48.994745446032056
//715,48.41482549221967
//716,47.92081490749206
//717,47.50958337291909
//718,47.1779530816017
//719,46.92266345388737
//720,46.74044618103481
//721,46.628006129496356
//722,46.58206424763836
//723,46.599354465619015
//724,46.676662351052286
//725,46.81085319395096
//726,46.99883752097829
//727,47.23763717756244
//728,47.52436011138879
//729,47.85623292615066
//730,48.2305888883815
//731,48.64489457895635
//732,49.09671457562989
//733,49.58377353087759
//734,50.10388482133274
//735,52.86472023161923
//736,51.985046961508395
//737,51.19504531209845
//738,50.4925429988047
//739,49.875217434933006
//740,49.340583216453574
//741,48.88605005624677
//742,48.50891274865851
//743,48.20638277901102
//744,47.975625447429415
//745,47.81374145022223
//746,47.71782873520234
//747,47.68495452320113
//748,47.71222445631647
//749,47.796764411166286
//750,47.935733776037026
//751,48.12635132443501
//752,48.36592381889611
//753,48.65180876289803
//754,48.981479948271925
//755,49.35248155800893
//756,49.76247084411143
//757,50.209221962272
//758,50.69058370417992
//759,53.511536016928545
//760,52.69754016849622
//761,51.96664088963642
//762,51.31701302346611
//763,50.74666974777805
//764,50.25348103032571
//765,49.83520373520033
//766,49.48949150144089
//767,49.21390951128786
//768,49.00595796018096
//769,48.86309444971148
//770,48.78273619753368
//771,48.762290854377056
//772,48.799161103278365
//773,48.89076299927207
//774,49.03455295553996
//775,49.228017743292625
//776,49.46869944960146
//777,49.7542098143032
//778,50.08222058215925
//779,50.45048349297157
//780,50.85684372991803
//781,51.2992251377418
//782,54.17064585034363
//783,53.41618110726442
//784,52.738987473014625
//785,52.137510701462794
//786,51.61006523943367
//787,51.154819017251214
//788,50.76983542254396
//789,50.45306388809355
//790,50.202387191862975
//791,50.015606439346534
//792,49.89047276636962
//793,49.824703631528386
//794,49.81600053388858
//795,49.8620230379395
//796,49.96046556486221
//797,50.10903162065014
//798,50.30545200847063
//799,50.547493313780166
//800,50.832974118456484
//801,51.15977540507663
//802,51.525823404390316
//803,51.92912792269809
//804,54.8406731917731
//805,54.140263452176946
//806,53.511920991202416
//807,52.95434248879022
//808,52.46609034644163
//809,52.04558213236732
//810,51.69115760962433
//811,51.401025232849626
//812,51.17334147827079
//813,51.006167625712415
//814,50.89753762403454
//815,50.84540557334515
//816,50.847730195860535
//817,50.902428778894496
//818,51.00743670414667
//819,51.16067494153451
//820,51.360091761725855
//821,51.60366002430785
//822,51.88939546721006
//823,52.21534365854157
//824,52.579617805471166
//825,55.520291776278484
//826,54.86903692659278
//827,54.28519383938022
//828,53.767671901871914
//829,53.31523722058807
//830,52.92654913679391
//831,52.600158537238165
//832,52.334530635995115
//833,52.128049407276436
//834,51.979011419271764
//835,51.88568214037543
//836,51.84625908586381
//837,51.85891812321478
//838,51.921804495800075
//839,52.03306319788186
//840,52.19081765172493
//841,52.393225926222534
//842,52.638428841018374
//843,52.92462653944941
//844,53.25002973215561
//845,56.20826888728077
//846,55.601774684349095
//847,55.05850345544697
//848,54.57753998073611
//849,54.1578498218866
//850,53.79829526630226
//851,53.49762489342827
//852,53.25452067459718
//853,53.06756315800048
//854,52.93527055171017
//855,52.856110162006175
//856,52.82849415254549
//857,52.85080197961119
//858,52.92138231233499
//859,53.03855547751873
//860,53.200650227983154
//861,53.405989299476545
//862,53.65290037520215
//863,53.93972663080183
//864,56.90345341866393
//865,56.33773483239951
//866,55.83146563157229
//867,55.38389642830083
//868,54.99415792842598
//869,54.6612727187347
//870,54.384186505295276
//871,54.1617643670793
//872,53.99276354792828
//873,53.87591298786416
//874,53.809847582916426
//875,53.79317815372366
//876,53.82446992525524
//877,53.902234344102936
//878,54.02498885835353
//879,54.191228443448026
//880,54.39942682514775
//881,54.64807114180606
//882,57.60475216321462
//883,57.07621701564708
//884,56.60372760458075
//885,56.18665310512428
//886,55.82429200306888
//887,55.51582313481687
//888,55.26034857153284
//889,55.05689356579763
//890,54.90440392223368
//891,54.801753150307256
//892,54.74777185773453
//893,54.741228374666136
//894,54.78085189015494
//895,54.86533135975726
//896,54.99333159262667
//897,55.16349716586006
//898,55.37445651412554
//899,58.311154970934076
//900,57.8165437303503
//901,57.37487710141946
//902,56.9856693659725
//903,56.64832928604146
//904,56.362192768716156
//905,56.12650866079838
//906,55.94044220086717
//907,55.80310054356271
//908,55.7135145350155
//909,55.670654449317034
//910,55.673459203173
//911,55.72079639357694
//912,55.811513622837396
//913,55.94441622602425
//914,56.118302931948435
//915,59.02172687174402
//916,58.55807042821413
//917,58.14454426004539
//918,57.7807742270828
//919,57.46630061840393
//920,57.20058265513557
//921,56.98299632285927
//922,56.81286193668474
//923,56.689395893314945
//924,56.611797597466115
//925,56.57916267525025
//926,56.590567957355084
//927,56.64503921172958
//928,56.741543936007666
//929,56.879033551825444
//930,59.73560441170935
//931,59.30018720274391
//932,58.91233949243654
//933,58.57179519010419
//934,58.27820068699095
//935,58.03113542931968
//936,57.83009380237883
//937,57.67451215587277
//938,57.56375285438164
//939,57.497129502720085
//940,57.473876718891574
//941,57.49319732091539
//942,57.554241703956606
//943,57.65610799120743
//944,60.451984292656995
//945,60.0423282552003
//946,59.67790472740344
//947,59.35854600896049
//948,59.084001529434566
//949,58.85395442238761
//950,58.668007486045454
//951,58.525721785951625
//952,58.42657267187354
//953,58.36998623895035
//954,58.355320866666304
//955,58.38190139985238
//956,58.44899008408491
//957,61.17013190025754
//958,60.78396148441568
//959,60.44089575691574
//960,60.14084641263879
//961,59.883661307779505
//962,59.66911759329401
//963,59.4969392690376
//964,59.3667682964296
//965,59.278203542577536
//966,59.23077344372287
//967,59.22396074475926
//968,59.25718838022826
//969,61.88938564116216
//970,61.52460953827623
//971,61.20098485387304
//972,60.91850974655077
//973,60.6771247853595
//974,60.47669843588328
//975,60.317028745909134
//976,60.19788500884724
//977,60.1189523161864
//978,60.07986673690723
//979,60.08020422071263
//980,62.609130523660625
//981,62.263820092027274
//982,61.95787872675983
//983,61.69138140792837
//984,61.46435083789948
//985,61.276727633485464
//986,61.12843016677379
//987,61.019291113493644
//988,60.94909920975355
//989,60.91758347692779
//990,63.328807104089755
//991,63.001187052730096
//992,62.7113013355366
//993,62.459298916076875
//994,62.24527338581267
//995,62.069264196102594
//996,61.93125071388098
//997,61.8311660660635
//998,61.76888458006585
//999,64.04792015731907
//1000,63.73634444560724
//1001,63.46100410659317
//1002,63.22211849488792
//1003,63.01985561886963
//1004,62.85432197197781
//1005,62.725598660637836
//1006,62.63368630996437
//1007,64.76602080924584
//1008,64.46895310139715
//1009,64.20676070053216
//1010,63.9797103148515
//1011,63.78804718622553
//1012,63.631954920093726
//1013,63.51157993184694
//1014,65.48270063325735
//1015,65.19873288399502
//1016,64.94836956796443
//1017,64.73196526744758
//1018,64.54981847984584
//1019,64.4021767073288
//1020,66.19760462713813
//1021,65.92540447040938
//1022,65.68566021909244
//1023,65.4787828560425
//1024,65.30512997281208
//1025,66.91041058287642
//1026,66.64874066022497
//1027,66.41847338244327
//1028,66.22007444850108
//1029,67.62084232998038
//1030,67.36854603789448
//1031,67.14667881900567
//1032,68.32865338303117
//1033,68.08463740469821
//1034,69.03363667249253
//1035,45.000003668668796
//1036,45.01489365524447
//1037,45.05955965176436
//1038,45.133903480388604
//1039,45.2378104420077
//1040,45.371107292572866
//1041,45.533549753761044
//1042,45.72489631028625
//1043,45.94481531939457
//1044,46.192954745387446
//1045,46.46894028448866
//1046,46.77233638679189
//1047,47.10269692838698
//1048,47.45954528727162
//1049,47.84237356227823
//1050,48.25066021408007
//1051,48.68388260534794
//1052,49.14148856950687
//1053,49.622918269636855
//1054,50.127611852787574
//1055,50.65500351377105
//1056,51.20453756952011
//1057,51.77564473286673
//1058,52.367775232578744
//1059,52.980370613850674
//1060,53.612900147203
//1061,54.264832490918344
//1062,54.935650157676136
//1063,55.62484254772204
//1064,56.33193189610827
//1065,57.056424863698666
//1066,57.797862862997405
//1067,58.555814001392356
//1068,59.329829719899706
//1069,60.11950149237532
//1070,60.92442911331847
//1071,61.744236736500596
//1072,62.578542114215196
//1073,63.4270032251723
//1074,64.28927592662998
//1075,65.1650333820675
//1076,66.05396226271557
//1077,66.95577384894192
//1078,67.8701595735182
//1079,68.79686135910994
//1080,69.73561233007375
